,index,latitude,longitude,cluster_predicted
75,75,19.161125259000073,72.92957415400008,0
76,76,19.140058533000055,72.92969351400006,0
77,77,19.158230980000038,72.93480833000007,0
78,78,19.163992113000067,72.93615200100005,0
79,79,19.15105310000007,72.93590310000008,0
80,80,19.158754357000078,72.92865383400004,0
81,81,19.131179050000068,72.93502045000008,0
82,82,19.124386924000078,72.91879652000007,0
83,83,19.117625800000038,72.93276860000003,0
84,84,19.135759767000025,72.93830499300003,0
85,85,19.12014080000006,72.92926630000005,0
86,86,19.165588204000073,72.95062667900004,0
87,87,19.166010079000046,72.93510986200005,0
88,88,19.166543250000075,72.95051435000005,0
89,89,19.240900619000055,72.85999383000006,0
90,90,19.257301175000066,72.87505035500004,0
91,91,19.25545295900002,72.86739020700003,0
92,92,19.239500216000067,72.86063629500006,0
93,93,19.255298550000077,72.87584095000005,0
94,94,19.256246300000047,72.86491405000005,0
95,95,19.051796358000047,72.92460261200006,1
96,96,19.038646121000053,72.94986531200004,1
97,97,19.06361537900005,72.92666335800006,1
98,98,19.04327898100007,72.90931475200007,1
99,99,19.034097449000054,72.89680688200008,1
100,100,19.067503986000077,72.92123974200007,1
101,101,19.064819291000052,72.92377942100006,1
102,102,19.06097900000003,72.92562700000008,1
103,103,19.06380500000006,72.92309720000003,1
104,104,19.06461470000005,72.92438060000006,1
105,105,19.056939889000034,72.91423245000004,1
106,106,19.033516000000077,72.89617030000005,1
107,107,19.035593864000077,72.89408415300005,1
108,108,19.06243539200005,72.90668143500005,1
109,109,19.03067654800003,72.89648767400006,1
110,110,19.061277731000075,72.90787836400007,1
111,111,19.04678400000006,72.89541220000007,1
112,112,19.031168765000075,72.89623193800003,1
113,113,19.044386648000053,72.88954491700008,1
114,114,19.061279200000055,72.90818430000007,1
115,115,19.05180250000007,72.88662380000005,1
116,116,19.080310712000028,72.85698821900006,1
117,117,19.07578720900005,72.86058542000006,1
118,118,19.07834762300007,72.84564794800008,1
119,119,19.055734882000024,72.84233838600005,1
120,120,19.058336590000067,72.84446533900007,1
121,121,19.077064403000065,72.84410425200008,1
122,122,19.06253580200007,72.85837049100006,1
123,123,19.07747605800006,72.84585164400005,1
124,124,19.057122126000024,72.84257840900004,1
125,125,19.06255622300006,72.84389299600008,1
126,126,19.079634501000047,72.84805043900008,1
127,127,19.074442364660822,72.84233563066293,1
128,128,19.0567414,72.84165109999998,1
129,129,19.08701255492469,72.8454124223478,1
130,130,19.0650798,72.85657690000001,1
131,131,19.08154070356635,72.85412494816595,1
132,132,19.056800000000067,72.84181944400007,1
133,133,19.133692270000036,72.85877406700007,0
134,134,19.139143697000065,72.85325870700007,0
135,135,19.14083695100004,72.86139945800005,0
136,136,19.13219749090547,72.85625580658747,0
137,137,19.10794573436695,72.8589177997727,0
138,138,19.133511052416146,72.85791979528605,0
139,139,19.12680647922856,72.84890382165267,0
140,140,19.0912396,72.8461938,1
141,141,19.10444256955326,72.8588016868696,0
142,142,19.11154079776221,72.86801623576561,0
143,143,19.138673022000035,72.85367576000004,0
144,144,19.17184910000003,72.83825470000005,0
145,145,19.16785555555556,72.83926944444444,0
146,146,19.178116615000018,72.86212478200008,0
147,147,19.188094332000052,72.82356901900005,0
148,148,19.188412668000073,72.84977676700005,0
149,149,19.18816346500006,72.82285887600005,0
150,150,19.19040005500005,72.85752212500007,0
151,151,19.187443294000047,72.86468327900008,0
152,152,19.18497540800007,72.82080140400006,0
153,153,19.185602245000037,72.82084449000007,0
154,154,19.190499477000056,72.85939303400005,0
155,155,19.17825285500004,72.86223807000005,0
156,156,19.187794200000038,72.82361530000003,0
157,157,19.18817618300005,72.85088855200007,0
158,158,19.18952245300005,72.86554153700007,0
159,159,19.188322500000027,72.82310850000005,0
160,160,19.18975893400005,72.85685693800008,0
161,161,19.170750359000067,72.87787931800005,0
162,162,19.185796100000058,72.81704633100003,0
163,163,19.184379031000052,72.82304687300005,0
164,164,19.180259400000068,72.86128000000008,0
165,165,19.17158700000005,72.87878300000007,0
166,166,19.179022222000068,72.86228055600003,0
167,167,19.19958938600007,72.86403704100006,0
168,168,19.196305040000027,72.86486190000005,0
169,169,19.198057222000045,72.85995734100005,0
170,170,19.203754296000053,72.83185210800008,0
171,171,19.203413889000046,72.83129444400005,0
172,172,19.06622789900007,72.87619575100005,1
173,173,19.09563540000005,72.89471325900006,0
